az;el;distance
12.00;3.00;32
14.00;3.00;30
16.00;3.00;34
18.00;3.00;38
20.00;3.00;47
22.00;3.00;43
24.00;3.00;43
26.00;3.00;47
28.00;3.00;47
30.00;3.00;47
32.00;3.00;38
34.00;3.00;39
36.00;3.00;40
38.00;3.00;37
40.00;3.00;38
42.00;3.00;42
44.00;3.00;49
46.00;3.00;45
48.00;3.00;51
50.00;3.00;54
52.00;3.00;60
54.00;3.00;63
56.00;3.00;89
58.00;3.00;81
60.00;3.00;80
62.00;3.00;82
64.00;3.00;82
66.00;3.00;79
68.00;3.00;86
70.00;3.00;81
72.00;3.00;80
74.00;3.00;81
76.00;3.00;81
78.00;3.00;79
80.00;3.00;73
82.00;3.00;73
84.00;3.00;75
86.00;3.00;79
88.00;3.00;85
90.00;3.00;78
92.00;3.00;78
94.00;3.00;67
96.00;3.00;62
98.00;3.00;66
100.00;3.00;88
102.00;3.00;85
104.00;3.00;86
106.00;3.00;87
108.00;3.00;84
110.00;3.00;89
112.00;3.00;70
114.00;3.00;91
116.00;3.00;91
118.00;3.00;93
120.00;3.00;92
122.00;3.00;93
124.00;3.00;94
126.00;3.00;93
128.00;3.00;96
130.00;3.00;100
132.00;3.00;101
134.00;3.00;104
136.00;3.00;112
138.00;3.00;112
140.00;3.00;122
142.00;3.00;124
144.00;3.00;113
146.00;3.00;99
148.00;3.00;138
150.00;3.00;144
152.00;3.00;142
154.00;3.00;152
156.00;3.00;135
158.00;3.00;150
160.00;3.00;142
162.00;3.00;149
164.00;3.00;147
166.00;3.00;153
168.00;3.00;128
170.00;3.00;135
172.00;3.00;151
174.00;3.00;141
176.00;3.00;147
178.00;3.00;148
180.00;3.00;144
0.00;4.00;23
2.00;4.00;25
4.00;4.00;28
6.00;4.00;33
8.00;4.00;37
10.00;4.00;37
12.00;4.00;33
14.00;4.00;35
16.00;4.00;35
18.00;4.00;44
20.00;4.00;37
22.00;4.00;43
24.00;4.00;40
26.00;4.00;51
28.00;4.00;47
30.00;4.00;44
32.00;4.00;39
34.00;4.00;35
36.00;4.00;37
38.00;4.00;42
40.00;4.00;38
42.00;4.00;42
44.00;4.00;43
46.00;4.00;51
48.00;4.00;50
50.00;4.00;53
52.00;4.00;56
54.00;4.00;62
56.00;4.00;87
58.00;4.00;87
60.00;4.00;89
62.00;4.00;86
64.00;4.00;86
66.00;4.00;83
68.00;4.00;85
70.00;4.00;83
72.00;4.00;81
74.00;4.00;84
76.00;4.00;80
78.00;4.00;79
80.00;4.00;78
82.00;4.00;74
84.00;4.00;73
86.00;4.00;76
88.00;4.00;85
90.00;4.00;83
92.00;4.00;89
94.00;4.00;75
96.00;4.00;63
98.00;4.00;67
100.00;4.00;84
102.00;4.00;85
104.00;4.00;86
106.00;4.00;84
108.00;4.00;85
110.00;4.00;84
112.00;4.00;66
114.00;4.00;81
116.00;4.00;90
118.00;4.00;90
120.00;4.00;89
122.00;4.00;91
124.00;4.00;91
126.00;4.00;92
128.00;4.00;94
130.00;4.00;100
132.00;4.00;102
134.00;4.00;105
136.00;4.00;110
138.00;4.00;113
140.00;4.00;120
142.00;4.00;129
144.00;4.00;1
146.00;4.00;183
148.00;4.00;147
150.00;4.00;157
152.00;4.00;170
154.00;4.00;126
156.00;4.00;170
158.00;4.00;154
160.00;4.00;117
162.00;4.00;143
164.00;4.00;132
166.00;4.00;148
168.00;4.00;127
170.00;4.00;141
172.00;4.00;148
174.00;4.00;139
176.00;4.00;149
178.00;4.00;145
180.00;4.00;145
0.00;5.00;24
2.00;5.00;23
4.00;5.00;27
6.00;5.00;29
8.00;5.00;30
10.00;5.00;28
12.00;5.00;38
14.00;5.00;37
16.00;5.00;35
18.00;5.00;40
20.00;5.00;39
22.00;5.00;42
24.00;5.00;40
26.00;5.00;51
28.00;5.00;48
30.00;5.00;39
32.00;5.00;44
34.00;5.00;39
36.00;5.00;38
38.00;5.00;38
40.00;5.00;44
42.00;5.00;43
44.00;5.00;44
46.00;5.00;50
48.00;5.00;49
50.00;5.00;53
52.00;5.00;60
54.00;5.00;65
56.00;5.00;90
58.00;5.00;91
60.00;5.00;87
62.00;5.00;85
64.00;5.00;86
66.00;5.00;90
68.00;5.00;87
70.00;5.00;86
72.00;5.00;81
74.00;5.00;86
76.00;5.00;79
78.00;5.00;77
80.00;5.00;76
82.00;5.00;72
84.00;5.00;74
86.00;5.00;76
88.00;5.00;86
90.00;5.00;84
92.00;5.00;85
94.00;5.00;82
96.00;5.00;77
98.00;5.00;78
100.00;5.00;85
102.00;5.00;87
104.00;5.00;85
106.00;5.00;81
108.00;5.00;81
110.00;5.00;85
112.00;5.00;73
114.00;5.00;84
116.00;5.00;90
118.00;5.00;88
120.00;5.00;91
122.00;5.00;94
124.00;5.00;91
126.00;5.00;92
128.00;5.00;94
130.00;5.00;100
132.00;5.00;105
134.00;5.00;107
136.00;5.00;116
138.00;5.00;124
140.00;5.00;135
142.00;5.00;117
144.00;5.00;124
146.00;5.00;115
148.00;5.00;190
150.00;5.00;183
152.00;5.00;168
154.00;5.00;140
156.00;5.00;131
158.00;5.00;130
160.00;5.00;121
162.00;5.00;126
164.00;5.00;145
166.00;5.00;152
168.00;5.00;128
170.00;5.00;141
172.00;5.00;148
174.00;5.00;137
176.00;5.00;148
178.00;5.00;145
180.00;5.00;146
0.00;6.00;20
2.00;6.00;25
4.00;6.00;23
6.00;6.00;30
8.00;6.00;33
10.00;6.00;34
12.00;6.00;33
14.00;6.00;32
16.00;6.00;33
18.00;6.00;40
20.00;6.00;43
22.00;6.00;42
24.00;6.00;47
26.00;6.00;48
28.00;6.00;48
30.00;6.00;45
32.00;6.00;37
34.00;6.00;38
36.00;6.00;37
38.00;6.00;39
40.00;6.00;35
42.00;6.00;40
44.00;6.00;43
46.00;6.00;47
48.00;6.00;50
50.00;6.00;50
52.00;6.00;56
54.00;6.00;61
56.00;6.00;86
58.00;6.00;89
60.00;6.00;86
62.00;6.00;87
64.00;6.00;85
66.00;6.00;85
68.00;6.00;86
70.00;6.00;83
72.00;6.00;82
74.00;6.00;82
76.00;6.00;82
78.00;6.00;76
80.00;6.00;74
82.00;6.00;73
84.00;6.00;74
86.00;6.00;76
88.00;6.00;84
90.00;6.00;85
92.00;6.00;83
94.00;6.00;86
96.00;6.00;84
98.00;6.00;83
100.00;6.00;85
102.00;6.00;84
104.00;6.00;87
106.00;6.00;87
108.00;6.00;67
110.00;6.00;70
112.00;6.00;80
114.00;6.00;86
116.00;6.00;88
118.00;6.00;88
120.00;6.00;89
122.00;6.00;89
124.00;6.00;91
126.00;6.00;93
128.00;6.00;98
130.00;6.00;97
132.00;6.00;1
134.00;6.00;123
136.00;6.00;69
138.00;6.00;71
140.00;6.00;73
142.00;6.00;73
144.00;6.00;85
146.00;6.00;82
148.00;6.00;100
150.00;6.00;101
152.00;6.00;98
154.00;6.00;103
156.00;6.00;108
158.00;6.00;113
160.00;6.00;118
162.00;6.00;133
164.00;6.00;150
166.00;6.00;153
168.00;6.00;128
170.00;6.00;139
172.00;6.00;150
174.00;6.00;139
176.00;6.00;146
178.00;6.00;147
180.00;6.00;144
0.00;7.00;22
2.00;7.00;28
4.00;7.00;27
6.00;7.00;32
8.00;7.00;28
10.00;7.00;38
12.00;7.00;30
14.00;7.00;35
16.00;7.00;37
18.00;7.00;40
20.00;7.00;45
22.00;7.00;44
24.00;7.00;51
26.00;7.00;48
28.00;7.00;50
30.00;7.00;45
32.00;7.00;35
34.00;7.00;42
36.00;7.00;39
38.00;7.00;40
40.00;7.00;39
42.00;7.00;44
44.00;7.00;48
46.00;7.00;45
48.00;7.00;48
50.00;7.00;50
52.00;7.00;58
54.00;7.00;60
56.00;7.00;87
58.00;7.00;87
60.00;7.00;89
62.00;7.00;86
64.00;7.00;84
66.00;7.00;88
68.00;7.00;85
70.00;7.00;82
72.00;7.00;82
74.00;7.00;82
76.00;7.00;83
78.00;7.00;75
80.00;7.00;78
82.00;7.00;75
84.00;7.00;74
86.00;7.00;77
88.00;7.00;82
90.00;7.00;86
92.00;7.00;83
94.00;7.00;84
96.00;7.00;83
98.00;7.00;83
100.00;7.00;83
102.00;7.00;82
104.00;7.00;84
106.00;7.00;81
108.00;7.00;70
110.00;7.00;68
112.00;7.00;74
114.00;7.00;86
116.00;7.00;86
118.00;7.00;87
120.00;7.00;88
122.00;7.00;89
124.00;7.00;92
126.00;7.00;91
128.00;7.00;93
130.00;7.00;100
132.00;7.00;1
134.00;7.00;1
136.00;7.00;79
138.00;7.00;75
140.00;7.00;79
142.00;7.00;81
144.00;7.00;86
146.00;7.00;92
